from,to,subject,body,type,parent_email_id
8,6,New Assignment,Please review the attached file.,forward,-
9,5,Project Status,General update on the project.,forward,0
2,3,Follow-up,General update on the project.,reply,1
9,4,Party Invitation,Thanks for the update.,reply,0
6,1,Meeting Update,You're invited to the party!,original,-
9,3,Client Feedback,We need to finalize the budget.,forward,4
6,9,Client Feedback,You're invited to the party!,forward,3
10,6,Weekly Report,Thanks for the update.,original,-
8,9,Meeting Update,General update on the project.,reply,1
4,2,Budget Review,Here is the new assignment.,original,-
7,10,New Assignment,Report will be ready soon.,forward,8
5,10,Budget Review,Here is the new assignment.,original,-
5,7,General Notice,Thanks for the update.,original,-
6,10,Budget Review,The meeting is at 3 PM.,reply,4
6,4,New Assignment,Can you send me the report?,original,-
7,1,Client Feedback,Don't forget the deadline tomorrow.,original,-
4,10,Party Invitation,Thanks for the update.,original,-
1,3,New Assignment,The meeting is at 3 PM.,reply,16
1,4,New Assignment,We need to finalize the budget.,reply,4
10,7,Weekly Report,Don't forget the deadline tomorrow.,reply,5
5,4,General Notice,Thanks for the update.,forward,18
9,10,New Assignment,General update on the project.,original,-
8,9,New Assignment,General update on the project.,forward,5
2,9,Project Status,Can you send me the report?,forward,9
9,7,New Assignment,Can you send me the report?,reply,10
7,1,Party Invitation,We need to finalize the budget.,reply,18
8,6,New Assignment,Can you send me the report?,reply,25
1,10,Follow-up,Thanks for the update.,forward,20
7,5,Budget Review,Can you send me the report?,forward,6
9,4,Weekly Report,General update on the project.,reply,6
6,5,Budget Review,Thanks for the update.,forward,3
6,5,Weekly Report,Report will be ready soon.,reply,23
8,1,Party Invitation,The meeting is at 3 PM.,forward,24
5,10,Meeting Update,Thanks for the update.,reply,18
2,10,Project Status,You're invited to the party!,original,-
9,3,Follow-up,The meeting is at 3 PM.,reply,21
2,8,General Notice,Please review the attached file.,reply,6
10,7,New Assignment,Please review the attached file.,original,-
10,1,Follow-up,Thanks for the update.,reply,9
6,2,Weekly Report,Please review the attached file.,forward,5
3,4,Follow-up,Can you send me the report?,reply,2
10,4,General Notice,Can you send me the report?,original,-
4,6,Party Invitation,We need to finalize the budget.,original,-
4,3,Follow-up,General update on the project.,forward,9
8,3,Budget Review,Please review the attached file.,forward,1
8,4,Project Status,Report will be ready soon.,original,-
2,7,Party Invitation,Don't forget the deadline tomorrow.,original,-
7,6,Party Invitation,We need to finalize the budget.,original,-
3,4,Budget Review,Don't forget the deadline tomorrow.,original,-
8,2,Follow-up,Please review the attached file.,reply,4
9,5,Follow-up,Don't forget the deadline tomorrow.,reply,28
2,4,General Notice,Here is the new assignment.,original,-
5,9,Follow-up,You're invited to the party!,reply,32
2,8,Deadline Reminder,Please review the attached file.,original,-
10,1,Budget Review,Report will be ready soon.,forward,16
3,9,Client Feedback,Please review the attached file.,forward,49
5,1,Follow-up,Don't forget the deadline tomorrow.,forward,2
3,4,Party Invitation,You're invited to the party!,reply,15
2,10,Follow-up,We need to finalize the budget.,original,-
4,1,Follow-up,Here is the new assignment.,forward,20
6,9,General Notice,Thanks for the update.,forward,35
8,3,Client Feedback,Report will be ready soon.,forward,6
4,5,Follow-up,Here is the new assignment.,forward,11
7,1,Project Status,Can you send me the report?,forward,0
6,2,Client Feedback,Here is the new assignment.,reply,46
9,2,Deadline Reminder,Don't forget the deadline tomorrow.,reply,32
6,3,Weekly Report,We need to finalize the budget.,original,-
5,8,Client Feedback,Can you send me the report?,forward,39
2,5,Weekly Report,We need to finalize the budget.,forward,41
10,8,Client Feedback,You're invited to the party!,reply,8
5,4,Meeting Update,You're invited to the party!,forward,3
4,6,Client Feedback,Report will be ready soon.,original,-
2,7,Weekly Report,The meeting is at 3 PM.,original,-
9,7,Meeting Update,Can you send me the report?,original,-
4,8,New Assignment,Report will be ready soon.,original,-
7,6,Party Invitation,We need to finalize the budget.,forward,63
10,9,New Assignment,General update on the project.,reply,27
4,2,Project Status,You're invited to the party!,forward,28
8,9,Meeting Update,Please review the attached file.,reply,46
4,8,Follow-up,General update on the project.,reply,26
2,6,Meeting Update,General update on the project.,original,-
3,9,New Assignment,Report will be ready soon.,forward,28
10,9,Weekly Report,We need to finalize the budget.,original,-
1,6,Budget Review,Report will be ready soon.,original,-
6,3,Budget Review,Please review the attached file.,original,-
7,8,New Assignment,Thanks for the update.,original,-
5,3,New Assignment,You're invited to the party!,reply,41
9,7,Budget Review,Report will be ready soon.,original,-
5,9,Client Feedback,General update on the project.,forward,79
5,3,Weekly Report,Report will be ready soon.,forward,36
5,2,Project Status,Don't forget the deadline tomorrow.,reply,1
4,8,Follow-up,General update on the project.,reply,83
7,5,Client Feedback,General update on the project.,reply,13
1,3,Meeting Update,Here is the new assignment.,original,-
6,5,Meeting Update,Here is the new assignment.,forward,85
1,5,Budget Review,The meeting is at 3 PM.,original,-
3,9,Client Feedback,Thanks for the update.,forward,64
1,10,Client Feedback,Can you send me the report?,forward,8
3,2,Follow-up,You're invited to the party!,forward,70
4,3,Meeting Update,Can you send me the report?,forward,71
