from,to,subject,body,type,parent_email_id
10,7,Weekly Report,The meeting is at 3 PM.,forward,-
10,9,Weekly Report,We need to finalize the budget.,reply,0
9,3,Project Status,Don't forget the deadline tomorrow.,forward,0
2,6,General Notice,We need to finalize the budget.,reply,1
2,4,Client Feedback,General update on the project.,original,-
7,2,Project Status,Report will be ready soon.,forward,3
6,2,Follow-up,Don't forget the deadline tomorrow.,forward,3
7,9,Deadline Reminder,You're invited to the party!,original,-
10,3,New Assignment,Can you send me the report?,original,-
8,7,Meeting Update,Can you send me the report?,forward,3
6,10,General Notice,Can you send me the report?,original,-
8,6,Weekly Report,General update on the project.,reply,6
6,8,Deadline Reminder,Report will be ready soon.,reply,6
8,1,Meeting Update,You're invited to the party!,original,-
9,6,Client Feedback,The meeting is at 3 PM.,original,-
5,10,Budget Review,Don't forget the deadline tomorrow.,reply,12
9,1,Follow-up,You're invited to the party!,forward,4
8,9,New Assignment,We need to finalize the budget.,reply,5
3,10,Weekly Report,You're invited to the party!,forward,2
9,5,Deadline Reminder,Thanks for the update.,forward,12
7,4,Meeting Update,We need to finalize the budget.,reply,10
4,5,Project Status,You're invited to the party!,reply,14
3,2,Meeting Update,General update on the project.,original,-
2,6,Follow-up,Don't forget the deadline tomorrow.,reply,18
2,9,Budget Review,You're invited to the party!,forward,11
4,7,Follow-up,Here is the new assignment.,original,-
7,1,Project Status,Can you send me the report?,original,-
2,6,Deadline Reminder,We need to finalize the budget.,original,-
8,1,Weekly Report,Please review the attached file.,original,-
7,6,Follow-up,General update on the project.,reply,8
4,5,Client Feedback,Please review the attached file.,reply,9
4,2,Project Status,The meeting is at 3 PM.,forward,30
2,4,Party Invitation,We need to finalize the budget.,forward,7
1,10,Follow-up,Thanks for the update.,original,-
5,7,Deadline Reminder,Please review the attached file.,original,-
3,4,New Assignment,You're invited to the party!,forward,15
10,3,Meeting Update,Please review the attached file.,reply,5
7,6,Project Status,Can you send me the report?,reply,31
9,4,Party Invitation,General update on the project.,forward,17
7,8,Deadline Reminder,Thanks for the update.,original,-
3,6,Client Feedback,Thanks for the update.,reply,23
6,9,Budget Review,You're invited to the party!,original,-
5,7,New Assignment,Here is the new assignment.,reply,23
9,6,Weekly Report,Don't forget the deadline tomorrow.,forward,11
8,6,Project Status,General update on the project.,original,-
4,10,Follow-up,Please review the attached file.,forward,42
5,1,Meeting Update,We need to finalize the budget.,original,-
2,6,New Assignment,Please review the attached file.,original,-
2,10,New Assignment,Don't forget the deadline tomorrow.,forward,13
3,6,Weekly Report,Here is the new assignment.,original,-
