from,to,subject,body,type,parent_email_id
5,2,Budget Review,Please review the attached file.,reply,-
7,2,Party Invitation,General update on the project.,forward,0
6,5,General Notice,The meeting is at 3 PM.,original,-
10,8,Project Status,Don't forget the deadline tomorrow.,forward,1
8,6,Deadline Reminder,General update on the project.,reply,1
3,10,Client Feedback,Thanks for the update.,reply,1
6,10,Deadline Reminder,Report will be ready soon.,forward,2
8,3,Weekly Report,Thanks for the update.,reply,4
6,4,Budget Review,You're invited to the party!,reply,2
5,8,Budget Review,Please review the attached file.,forward,4
9,4,Weekly Report,We need to finalize the budget.,forward,1
9,8,General Notice,Don't forget the deadline tomorrow.,forward,10
9,6,Follow-up,We need to finalize the budget.,original,-
3,2,Party Invitation,You're invited to the party!,reply,2
6,3,Client Feedback,Report will be ready soon.,original,-
4,10,Project Status,General update on the project.,original,-
10,5,Meeting Update,Don't forget the deadline tomorrow.,forward,9
10,3,Party Invitation,We need to finalize the budget.,forward,9
8,9,Budget Review,Thanks for the update.,reply,12
8,10,Budget Review,Here is the new assignment.,original,-
6,9,Party Invitation,General update on the project.,original,-
4,10,Follow-up,Thanks for the update.,forward,1
2,6,Weekly Report,We need to finalize the budget.,original,-
7,4,Weekly Report,Can you send me the report?,reply,10
9,10,Meeting Update,Report will be ready soon.,original,-
8,3,New Assignment,Please review the attached file.,forward,10
8,6,Deadline Reminder,You're invited to the party!,forward,3
2,5,Follow-up,Can you send me the report?,forward,23
10,7,Follow-up,The meeting is at 3 PM.,reply,8
5,3,New Assignment,Don't forget the deadline tomorrow.,reply,1
7,3,Client Feedback,Here is the new assignment.,reply,7
3,5,Budget Review,Can you send me the report?,reply,29
10,2,General Notice,Can you send me the report?,forward,13
1,2,Client Feedback,We need to finalize the budget.,forward,27
6,8,Follow-up,The meeting is at 3 PM.,forward,28
3,2,New Assignment,Report will be ready soon.,original,-
5,8,Party Invitation,Here is the new assignment.,reply,27
1,5,General Notice,Please review the attached file.,forward,7
10,9,Weekly Report,Can you send me the report?,reply,28
6,3,Client Feedback,The meeting is at 3 PM.,forward,5
1,4,Weekly Report,We need to finalize the budget.,forward,13
9,6,Client Feedback,Don't forget the deadline tomorrow.,original,-
2,8,General Notice,Please review the attached file.,reply,26
8,10,Follow-up,We need to finalize the budget.,forward,41
7,8,Client Feedback,You're invited to the party!,reply,18
4,1,Project Status,You're invited to the party!,original,-
4,3,Deadline Reminder,Report will be ready soon.,reply,0
8,7,Project Status,Can you send me the report?,reply,14
8,4,General Notice,Can you send me the report?,original,-
1,5,Follow-up,Can you send me the report?,reply,40
7,3,Deadline Reminder,Don't forget the deadline tomorrow.,original,-
5,4,Client Feedback,You're invited to the party!,forward,34
4,2,Follow-up,Don't forget the deadline tomorrow.,reply,27
5,1,Budget Review,You're invited to the party!,original,-
4,6,General Notice,You're invited to the party!,forward,18
6,4,General Notice,Don't forget the deadline tomorrow.,reply,22
7,8,New Assignment,You're invited to the party!,original,-
4,3,Project Status,Can you send me the report?,reply,0
3,2,Weekly Report,Here is the new assignment.,reply,30
7,9,New Assignment,You're invited to the party!,original,-
1,9,Meeting Update,You're invited to the party!,forward,23
4,8,Deadline Reminder,We need to finalize the budget.,reply,12
1,9,Meeting Update,Thanks for the update.,reply,48
3,2,Weekly Report,Report will be ready soon.,original,-
4,8,Weekly Report,We need to finalize the budget.,forward,17
4,2,Project Status,Please review the attached file.,reply,43
9,1,Client Feedback,You're invited to the party!,original,-
2,1,Meeting Update,Can you send me the report?,forward,47
9,2,Budget Review,Can you send me the report?,reply,21
5,10,Follow-up,We need to finalize the budget.,original,-
10,1,Client Feedback,Please review the attached file.,reply,50
10,5,Party Invitation,Can you send me the report?,forward,57
8,10,Client Feedback,Please review the attached file.,forward,24
8,6,Meeting Update,Can you send me the report?,forward,69
3,4,Project Status,We need to finalize the budget.,original,-
1,2,New Assignment,The meeting is at 3 PM.,reply,72
3,6,Weekly Report,Report will be ready soon.,original,-
2,7,General Notice,Report will be ready soon.,reply,49
10,1,Budget Review,Thanks for the update.,reply,32
1,10,General Notice,General update on the project.,original,-
9,8,Weekly Report,You're invited to the party!,forward,51
9,4,Follow-up,Here is the new assignment.,original,-
6,8,General Notice,We need to finalize the budget.,reply,14
3,8,Meeting Update,Here is the new assignment.,original,-
7,9,Budget Review,General update on the project.,reply,72
2,5,Follow-up,You're invited to the party!,reply,34
9,5,General Notice,General update on the project.,forward,82
10,1,Client Feedback,You're invited to the party!,forward,11
5,2,General Notice,Here is the new assignment.,reply,43
10,1,Weekly Report,Report will be ready soon.,forward,50
9,10,Follow-up,Can you send me the report?,forward,18
8,10,Client Feedback,Please review the attached file.,original,-
2,9,Party Invitation,Please review the attached file.,reply,3
